PROJECT,TRADE_SIZE_BUCKET,FILL_COUNT,VOLUME_USD
tesserav,$10K-$100K,12554,261724462.695722
tesserav,>$100K,51,12222305.9510389
aquifer,$100-$1K,22205,9570060.60366766
aquifer,>$100K,251,1338367.9575479
solfi,$100-$1K,829911,345539879.349228
bisonfi,$10K-$100K,10020,307795715.053441
bisonfi,>$100K,492,61923392.7806131
humidifi,$10K-$100K,22981,631355715.392076
zerofi,>$100K,28,3690935.75009495
solfi,$10K-$100K,30599,579340573.524112
aquifer,<$10,66765,220750.467155772
zerofi,$10K-$100K,3433,65367101.6518623
humidifi,$1K-$10K,320261,1297906047.1513
humidifi,$10-$100,952792,42519241.7639569
humidifi,<$10,943616,2838271.58494689
humidifi,>$100K,120,22019392.6619788
tesserav,$100-$1K,572382,232587317.686028
zerofi,$1K-$10K,82801,184551366.608305
alphaq,$10-$100,698081,28101954.0550505
alphaq,<$10,715011,2118974.59822186
zerofi,$10-$100,403848,15583027.0570289
zerofi,<$10,424234,1266162.95542202
zerofi,$100-$1K,399612,167189617.729137
alphaq,$100-$1K,845356,342806034.205711
bisonfi,$10-$100,166690,6578251.67939013
aquifer,$10K-$100K,629,15717407.4875619
solfi,$10-$100,842765,33960489.7270872
bisonfi,$1K-$10K,36814,115470562.434931
solfi,>$100K,665,95984247.1996343
solfi,$1K-$10K,185719,477762618.212163
tesserav,<$10,401909,958606.801921214
solfi,<$10,623539,2490657.50557751
tesserav,$10-$100,387877,18589699.1328116
alphaq,$10K-$100K,11467,206566448.833977
bisonfi,$100-$1K,148964,55414499.983505
tesserav,$1K-$10K,191549,574426404.374062
alphaq,$1K-$10K,225859,689244392.872911
bisonfi,<$10,129383,450225.83390838
aquifer,$10-$100,17437,629671.503891039
humidifi,$100-$1K,740983,250362644.311086
aquifer,$1K-$10K,6122,18250405.1197567
